GPA,SAT Reading & Writing,SAT Math,SAT Essay,Activity Score,Personal Statement Score,Residency,Race,Gender,Accepted
2.1,676,553,15,80,80,CA resident,Hispanic,Male,0
2.9,636,597,15,80,80,International,Hispanic,Female,0
2.5,667,558,15,80,80,CA resident,International,Female,0
2.6,606,582,13,80,80,Non-resident domestic,White,Female,0
2.3,553,676,14,80,80,CA resident,Asian,Female,0
2.7,588,672,16,80,80,CA resident,White,Male,0
2.4,659,680,15,80,80,CA resident,White,Female,0
2.8,700,603,13,80,80,CA resident,Hispanic,Female,0
2.8,626,584,14,80,80,CA resident,Asian,Female,0
2.1,613,652,16,80,80,CA resident,Hispanic,Female,0
2.9,563,601,14,80,80,International,White,Female,0
2.7,558,690,16,80,80,CA resident,White,Male,0
2.1,649,693,15,80,80,CA resident,Asian,Female,0
2.2,638,698,15,80,80,CA resident,Hispanic,Male,0
2.1,666,662,16,80,80,CA resident,White,Female,0
2.7,687,609,13,80,80,International,White,Female,0
2.1,652,606,15,80,80,CA resident,White,Male,0
2.0,561,676,13,80,80,CA resident,White,Female,0
2.7,567,694,13,80,80,CA resident,Asian,Female,0
2.7,578,666,15,80,80,International,Asian,Female,0
2.7,678,554,13,80,80,CA resident,Asian,Male,0
2.8,678,626,13,80,80,CA resident,White,Male,0
2.4,585,553,15,80,80,CA resident,Asian,Female,0
2.5,621,590,13,80,80,CA resident,Hispanic,Male,0
2.0,598,650,16,80,80,CA resident,Asian,Female,0
2.1,569,660,15,80,80,CA resident,Asian,Female,0
2.4,638,634,14,80,80,CA resident,Hispanic,Male,0
2.6,656,558,16,80,80,CA resident,Hispanic,Female,0
2.6,679,566,13,80,80,Unknown,Asian,Male,1
2.3,597,557,15,80,80,International,Asian,Female,0
2.3,614,583,16,80,80,CA resident,White,Male,0
2.6,627,663,16,80,80,CA resident,Asian,Genderqueer,0
2.4,640,630,15,80,80,CA resident,Domestic unknown,Male,0
2.1,645,696,14,80,80,CA resident,Hispanic,Female,0
2.4,649,586,15,80,80,CA resident,Domestic unknown,Male,0
2.8,680,698,14,80,80,Non-resident domestic,White,Female,0
2.7,677,579,13,80,80,CA resident,Hispanic,Male,0
2.4,634,618,13,80,80,CA resident,Asian,Female,0
2.4,637,682,16,80,80,CA resident,International,Female,0
2.5,605,639,13,80,80,Unknown,Asian,Female,0
2.4,620,649,13,80,80,CA resident,White,Female,0
2.6,646,611,14,80,80,CA resident,White,Female,0
2.1,617,576,13,80,80,CA resident,Hispanic,Female,0
2.6,569,562,15,80,80,CA resident,White,Male,0
2.7,691,657,13,80,80,CA resident,Hispanic,Male,0
2.0,676,559,13,80,80,CA resident,Asian,Female,0
2.6,588,672,14,80,80,CA resident,Asian,Female,1
2.4,561,564,15,80,80,CA resident,White,Male,0
2.5,631,574,13,80,80,CA resident,White,Female,0
2.3,655,674,15,80,80,CA resident,Hispanic,Male,0
2.8,633,587,14,80,80,CA resident,Hispanic,Female,0
2.5,643,670,13,80,80,International,White,Male,0
2.4,640,652,15,80,80,International,Asian,Female,0
2.3,663,640,13,80,80,CA resident,Asian,Female,0
2.3,642,559,15,80,80,Unknown,International,Other,0
2.5,569,603,13,80,80,Unknown,International,Male,1
2.5,629,581,15,80,80,International,Asian,Female,0
2.1,609,580,15,80,80,CA resident,Asian,Male,0
2.1,600,671,13,80,80,CA resident,Asian,Male,0
2.1,636,614,13,80,80,CA resident,International,Female,0
2.1,597,686,15,80,80,International,Hispanic,Female,0
2.3,605,659,14,80,80,CA resident,Asian,Male,0
2.0,587,693,16,80,80,CA resident,Asian,Female,0
2.8,687,635,14,80,80,CA resident,White,Female,0
2.7,676,631,14,80,80,CA resident,White,Male,0
2.0,669,693,15,80,80,Non-resident domestic,Hispanic,Male,0
2.4,575,663,16,80,80,CA resident,Asian,Male,0
2.8,678,608,14,80,80,CA resident,White,Female,1
2.8,664,622,14,80,80,International,International,Male,0
2.8,694,638,16,80,80,CA resident,Asian,Male,0
2.7,667,675,14,80,80,CA resident,Asian,Male,0
2.2,557,699,15,80,80,Non-resident domestic,Asian,Female,0
2.6,640,608,14,80,80,CA resident,White,Male,0
2.0,638,689,15,80,80,CA resident,Asian,Male,0
2.8,681,692,15,80,80,CA resident,Asian,Female,0
2.2,664,553,14,80,80,CA resident,International,Female,0
2.7,552,625,14,80,80,Non-resident domestic,White,Male,1
2.4,647,570,15,80,80,CA resident,Hispanic,Female,0
2.1,626,558,13,80,80,CA resident,Hispanic,Male,0
2.4,696,607,15,80,80,CA resident,Hispanic,Male,0
2.2,565,670,14,80,80,International,International,Male,0
2.1,596,567,14,80,80,CA resident,White,Female,0
2.8,586,567,14,80,80,CA resident,Domestic unknown,Female,0
2.8,588,652,16,80,80,CA resident,Asian,Female,0
2.9,686,658,14,80,80,Unknown,White,Male,0
2.4,629,690,14,80,80,CA resident,White,Male,0
2.2,616,604,14,80,80,International,Asian,Male,0
2.4,696,695,13,80,80,CA resident,Asian,Female,0
2.8,598,552,15,80,80,International,Hispanic,Male,0
2.3,570,686,14,80,80,CA resident,White,Female,0
2.9,655,562,14,80,80,CA resident,International,Male,0
2.6,570,582,16,80,80,Non-resident domestic,Asian,Female,0
2.6,673,599,13,80,80,International,White,Male,0
2.2,685,696,14,80,80,Unknown,Asian,Male,0
2.1,587,627,14,80,80,CA resident,White,Female,0
2.2,684,578,15,80,80,CA resident,African American,Male,0
2.6,582,699,15,80,80,CA resident,Asian,Male,0
2.4,551,640,16,80,80,CA resident,Asian,Female,0
2.4,683,606,13,80,80,International,International,Female,0
2.9,619,688,15,80,80,CA resident,Asian,Female,0
2.3,601,630,13,80,80,CA resident,Hispanic,Male,0
2.7,687,572,13,80,80,CA resident,Hispanic,Female,1
2.3,686,583,13,80,80,Non-resident domestic,White,Female,0
2.9,658,572,14,80,80,CA resident,International,Female,0
2.8,621,613,16,80,80,Non-resident domestic,White,Female,0
2.5,623,685,16,80,80,CA resident,Asian,Male,0
2.2,613,560,13,80,80,CA resident,Asian,Female,0
2.9,604,650,14,80,80,CA resident,International,Male,0
2.8,688,571,15,80,80,CA resident,Asian,Male,0
2.7,685,595,15,80,80,CA resident,Asian,Male,0
2.3,644,681,13,80,80,CA resident,Asian,Male,1
2.5,682,642,14,80,80,Non-resident domestic,International,Male,0
2.4,635,675,15,80,80,CA resident,International,Male,0
2.1,663,628,14,80,80,CA resident,Asian,Female,0
2.5,633,550,16,80,80,CA resident,White,Male,0
2.9,607,599,13,80,80,CA resident,African American,Female,0
2.7,596,610,15,80,80,CA resident,White,Female,0
2.6,599,646,13,80,80,International,Hispanic,Male,0
2.9,614,584,15,80,80,CA resident,White,Male,0
2.2,649,623,15,80,80,International,International,Male,0
2.3,685,700,16,80,80,CA resident,White,Female,0
2.8,566,662,16,80,80,CA resident,White,Female,0
2.7,669,554,16,80,80,CA resident,Hispanic,Female,0
2.2,621,687,14,80,80,Unknown,Asian,Female,0
2.9,577,621,15,80,80,International,Hispanic,Female,0
2.7,559,691,15,80,80,CA resident,International,Female,0
2.3,605,653,14,80,80,CA resident,White,Male,0
2.0,676,674,16,80,80,CA resident,Asian,Male,0
3.0,676,637,14,80,80,CA resident,Asian,Female,0
2.7,651,670,15,80,80,CA resident,Asian,Female,0
2.7,641,585,16,80,80,International,White,Male,0
2.7,563,583,16,80,80,CA resident,International,Male,0
2.8,604,644,16,80,80,International,African American,Male,0
2.4,610,589,15,80,80,CA resident,White,Male,0
2.1,643,592,15,80,80,CA resident,Asian,Male,0
2.6,557,637,13,80,80,International,White,Female,0
2.2,554,571,13,80,80,CA resident,International,Female,0
2.6,654,589,13,80,80,Unknown,Asian,Male,0
2.6,612,558,16,80,80,International,Asian,Female,0
2.9,685,592,15,80,80,CA resident,Hispanic,Female,0
2.9,650,667,16,80,80,CA resident,Hispanic,Male,0
2.9,577,599,15,80,80,CA resident,Hispanic,Male,0
2.9,620,653,13,80,80,CA resident,International,Female,0
2.4,700,651,14,80,80,CA resident,Asian,Female,0
2.6,681,658,13,80,80,CA resident,Hispanic,Female,0
2.4,626,597,16,80,80,Unknown,Hispanic,Female,0
2.6,603,654,15,80,80,CA resident,White,Male,0
2.4,624,604,14,80,80,CA resident,International,Female,0
2.4,622,647,14,80,80,CA resident,White,Female,0
2.8,620,570,15,80,80,CA resident,White,Female,0
2.1,674,563,16,80,80,Non-resident domestic,International,Male,0
2.2,642,654,14,80,80,CA resident,International,Female,0
2.7,678,560,14,80,80,CA resident,Asian,Female,0
2.4,643,677,16,80,80,CA resident,White,Male,0
2.1,575,568,13,80,80,CA resident,Asian,Male,0
3.0,608,563,16,80,80,CA resident,International,Female,0
2.7,641,661,15,80,80,CA resident,International,Male,0
2.2,587,561,15,80,80,International,Asian,Female,0
2.4,574,630,16,80,80,CA resident,White,Female,0
2.2,554,686,14,80,80,CA resident,International,Female,0
2.2,592,685,14,80,80,CA resident,White,Male,0
3.0,665,644,16,80,80,CA resident,African American,Female,0
2.2,601,674,13,80,80,CA resident,Asian,Male,0
3.0,613,638,15,80,80,Unknown,Hispanic,Female,0
2.2,555,614,15,80,80,Non-resident domestic,White,Female,0
2.3,633,627,16,80,80,CA resident,Hispanic,Male,0
2.7,555,691,13,80,80,International,White,Male,0
3.0,666,662,16,80,80,CA resident,African American,Female,0
2.3,654,562,13,80,80,International,Hispanic,Male,0
2.3,561,588,16,80,80,CA resident,White,Female,0
2.2,663,550,16,80,80,International,Asian,Female,0
2.3,670,575,14,80,80,CA resident,White,Male,0
2.0,642,662,14,80,80,CA resident,International,Female,0
2.2,599,550,15,80,80,CA resident,White,Male,0
2.3,598,568,16,80,80,CA resident,International,Female,0
2.3,677,573,13,80,80,International,White,Female,0
2.3,679,565,13,80,80,CA resident,Hispanic,Female,0
2.9,700,672,15,80,80,CA resident,White,Female,0
2.6,635,603,16,80,80,CA resident,White,Female,0
2.7,560,645,15,80,80,CA resident,Asian,Male,0
2.8,574,682,14,80,80,CA resident,Asian,Female,0
2.1,697,691,16,80,80,CA resident,White,Female,0
2.6,592,622,16,80,80,CA resident,Hispanic,Male,1
2.6,568,634,14,80,80,CA resident,International,Female,0
2.7,611,692,15,80,80,CA resident,White,Other,0
2.6,662,677,16,80,80,CA resident,Asian,Male,0
2.7,699,550,15,80,80,CA resident,International,Male,0
3.0,684,581,15,80,80,CA resident,Asian,Male,0
2.7,623,608,16,80,80,CA resident,White,Female,0
2.6,686,593,16,80,80,International,Asian,Female,0
2.1,695,603,15,80,80,CA resident,White,Female,0
2.6,654,626,16,80,80,CA resident,White,Male,0
2.6,661,630,15,80,80,CA resident,White,Female,0
2.3,680,658,14,80,80,CA resident,Domestic unknown,Male,0
2.9,599,579,14,80,80,CA resident,Hispanic,Female,0
2.1,641,554,13,80,80,CA resident,Asian,Male,0
3.0,596,648,16,80,80,CA resident,Asian,Female,0
2.1,576,673,14,80,80,CA resident,African American,Male,0
2.4,678,668,15,80,80,International,Asian,Female,1
2.3,700,601,13,80,80,Non-resident domestic,White,Female,0
2.3,590,623,15,80,80,CA resident,Asian,Male,0
2.5,582,675,16,80,80,CA resident,International,Female,0
2.1,603,621,16,80,80,CA resident,Asian,Female,0
2.8,670,628,16,80,80,Non-resident domestic,White,Female,0
2.4,578,660,16,80,80,Non-resident domestic,Asian,Male,0
3.0,687,697,13,80,80,Unknown,White,Female,0
2.1,670,670,16,80,80,Unknown,International,Female,0
2.7,630,671,15,80,80,CA resident,Hispanic,Female,0
2.5,571,607,16,80,80,CA resident,Asian,Female,0
2.0,599,639,16,80,80,CA resident,White,Male,0
2.5,665,633,15,80,80,CA resident,White,Male,0
2.5,655,618,13,80,80,Non-resident domestic,Asian,Genderqueer,0
2.5,647,686,13,80,80,CA resident,International,Male,0
2.6,674,553,16,80,80,International,Hispanic,Male,0
2.4,659,681,14,80,80,CA resident,Asian,Male,0
2.3,657,612,14,80,80,CA resident,Hispanic,Female,0
2.1,624,602,14,80,80,International,White,Female,0
2.9,689,684,14,80,80,CA resident,Asian,Female,0
2.1,663,604,15,80,80,CA resident,International,Male,0
2.2,636,565,13,80,80,CA resident,Asian,Male,0
2.3,572,590,13,80,80,Unknown,Asian,Female,0
2.8,662,578,15,80,80,CA resident,International,Female,0
2.6,642,585,15,80,80,Non-resident domestic,Domestic unknown,Female,0
2.7,647,620,15,80,80,CA resident,International,Female,0
2.7,631,594,14,80,80,International,Asian,Female,0
2.7,589,677,14,80,80,CA resident,Asian,Male,0
2.4,678,550,15,80,80,CA resident,Hispanic,Female,0
2.8,694,698,16,80,80,CA resident,Asian,Female,0
2.6,636,628,13,80,80,CA resident,African American,Female,0
2.9,640,653,15,80,80,CA resident,Hispanic,Male,0
2.7,555,578,13,80,80,CA resident,Hispanic,Female,0
2.5,657,591,14,80,80,CA resident,Asian,Male,0
2.9,643,617,14,80,80,CA resident,Asian,Male,0
2.7,650,590,14,80,80,CA resident,International,Female,0
2.4,565,647,14,80,80,Non-resident domestic,White,Male,0
2.2,603,665,14,80,80,CA resident,Asian,Female,0
2.6,680,551,13,80,80,CA resident,White,Male,0
2.7,651,690,15,80,80,CA resident,White,Male,0
2.2,670,671,13,80,80,CA resident,Asian,Male,0
2.0,606,647,15,80,80,CA resident,Asian,Male,0
2.4,612,655,14,80,80,CA resident,Asian,Female,0
2.8,590,637,14,80,80,International,White,Female,0
2.3,664,653,16,80,80,CA resident,Hispanic,Male,0
2.9,657,584,16,80,80,CA resident,Hispanic,Female,0
2.7,672,613,15,80,80,CA resident,Hispanic,Female,0
2.5,554,678,13,80,80,Unknown,African American,Male,0
2.7,606,610,16,80,80,CA resident,International,Female,0
2.5,560,622,14,80,80,CA resident,White,Female,0
2.4,603,682,14,80,80,CA resident,Hispanic,Male,0
2.0,608,625,14,80,80,CA resident,Asian,Male,0
2.2,668,642,14,80,80,CA resident,Asian,Female,1
2.1,614,633,14,80,80,International,Hispanic,Male,0
2.9,635,623,16,80,80,CA resident,Hispanic,Female,0
2.4,596,564,13,80,80,CA resident,Asian,Genderqueer,0
2.4,699,579,14,80,80,CA resident,Asian,Male,0
2.8,686,676,16,80,80,CA resident,Asian,Female,0
2.1,670,656,15,80,80,Unknown,White,Female,1
3.0,561,575,14,80,80,International,Domestic unknown,Female,0
2.3,677,666,15,80,80,CA resident,Asian,Male,0
2.4,635,628,14,80,80,CA resident,Hispanic,Female,1
2.6,657,644,13,80,80,CA resident,Asian,Male,0
2.3,591,603,13,80,80,CA resident,Hispanic,Female,0
2.4,585,625,15,80,80,CA resident,Domestic unknown,Male,0
2.1,598,589,13,80,80,CA resident,Asian,Female,0
2.1,586,663,13,80,80,Unknown,Hispanic,Female,0
3.0,615,700,14,80,80,CA resident,Asian,Female,0
2.4,618,648,15,80,80,CA resident,African American,Female,0
2.9,608,641,13,80,80,CA resident,White,Female,0
2.0,634,618,14,80,80,International,White,Male,0
2.4,680,566,15,80,80,Non-resident domestic,Hispanic,Male,0
2.6,656,607,15,80,80,Non-resident domestic,International,Female,0
2.0,657,589,15,80,80,CA resident,White,Male,0
2.9,679,561,14,80,80,CA resident,Asian,Female,0
3.0,643,574,13,80,80,CA resident,Hispanic,Male,0
2.5,596,600,13,80,80,CA resident,Asian,Female,0
2.4,625,605,16,80,80,CA resident,International,Female,0
2.9,570,559,13,80,80,CA resident,Asian,Female,0
2.9,626,672,13,80,80,CA resident,Asian,Female,0
2.5,684,695,16,80,80,CA resident,International,Female,0
2.3,553,616,15,80,80,CA resident,International,Male,0
2.9,618,592,15,80,80,CA resident,Asian,Male,0
2.3,638,556,13,80,80,CA resident,White,Male,0
2.4,637,603,14,80,80,CA resident,International,Male,0
2.2,634,684,15,80,80,CA resident,African American,Male,0
2.5,672,648,13,80,80,CA resident,Hispanic,Female,1
2.2,598,683,16,80,80,Non-resident domestic,International,Female,0
3.0,588,635,13,80,80,CA resident,White,Male,0
3.0,695,677,16,80,80,CA resident,International,Male,0
2.7,611,586,14,80,80,CA resident,Hispanic,Male,0
3.0,632,649,14,80,80,International,Hispanic,Male,0
2.9,586,630,14,80,80,CA resident,Domestic unknown,Female,0
2.5,654,554,15,80,80,CA resident,Asian,Female,0
2.8,568,561,13,80,80,CA resident,Asian,Female,1
2.7,571,616,16,80,80,CA resident,Hispanic,Male,0
2.8,689,623,13,80,80,CA resident,Asian,Male,0
2.6,686,673,13,80,80,CA resident,Hispanic,Genderqueer,0
2.4,638,588,13,80,80,CA resident,White,Male,1
2.8,599,599,15,80,80,Non-resident domestic,Hispanic,Female,0
2.6,595,646,16,80,80,CA resident,Asian,Male,0
2.0,574,648,13,80,80,Non-resident domestic,White,Female,0
2.3,579,570,14,80,80,CA resident,White,Male,0
2.8,675,653,15,80,80,International,Asian,Female,0
2.4,622,664,14,80,80,CA resident,American Indian,Female,0
2.2,621,620,13,80,80,CA resident,Hispanic,Male,0
3.0,679,631,16,80,80,CA resident,Asian,Male,0
2.3,700,600,13,80,80,Non-resident domestic,Hispanic,Male,0
2.8,634,616,14,80,80,CA resident,International,Female,0
2.3,660,628,13,80,80,CA resident,White,Female,0
2.3,680,688,14,80,80,CA resident,Asian,Male,0
2.6,600,600,14,80,80,CA resident,Hispanic,Male,0
2.9,634,689,13,80,80,CA resident,International,Male,0
2.5,556,634,14,80,80,Non-resident domestic,White,Female,0
2.7,592,598,15,80,80,Unknown,International,Male,0
2.4,645,583,15,80,80,CA resident,International,Female,0
2.3,573,673,13,80,80,Unknown,Asian,Male,0
2.4,672,659,16,80,80,Non-resident domestic,International,Female,0
2.9,660,678,15,80,80,CA resident,Asian,Male,0
2.8,696,675,14,80,80,CA resident,Domestic unknown,Female,0
2.9,564,575,13,80,80,CA resident,Hispanic,Female,0
2.3,625,601,16,80,80,CA resident,White,Male,0
2.6,670,670,14,80,80,CA resident,Asian,Other,0
3.0,603,663,15,80,80,CA resident,White,Female,0
2.1,602,656,15,80,80,CA resident,Asian,Female,0
2.0,584,643,13,80,80,CA resident,Asian,Female,0
2.7,573,560,13,80,80,Non-resident domestic,White,Female,0
2.1,596,688,13,80,80,CA resident,International,Female,0
2.7,673,598,13,80,80,International,Asian,Female,0
2.5,596,679,16,80,80,CA resident,White,Male,0
2.8,653,671,16,80,80,CA resident,Hispanic,Male,0
2.3,676,695,16,80,80,CA resident,Asian,Female,0
2.1,674,611,16,80,80,International,African American,Male,0
2.3,627,569,16,80,80,CA resident,White,Male,0
2.4,587,652,16,80,80,CA resident,White,Male,0
2.6,641,685,16,80,80,CA resident,Asian,Female,0
2.4,559,663,16,80,80,International,Asian,Male,0
2.0,687,605,13,80,80,CA resident,Asian,Male,0
2.5,556,579,14,80,80,CA resident,Asian,Male,0
2.8,575,650,14,80,80,CA resident,White,Male,0
2.0,594,606,15,80,80,CA resident,Asian,Female,0
2.9,652,604,15,80,80,CA resident,Hispanic,Female,0
2.8,569,565,16,80,80,CA resident,Hispanic,Female,0
2.4,639,696,15,80,80,CA resident,Hispanic,Female,0
2.3,645,699,13,80,80,CA resident,Asian,Male,0
2.5,598,553,15,80,80,Unknown,African American,Female,0
2.9,579,631,15,80,80,CA resident,White,Male,0
2.1,592,694,14,80,80,CA resident,Hispanic,Male,0
2.1,606,631,15,80,80,CA resident,Hispanic,Female,0
2.9,621,651,14,80,80,International,Hispanic,Female,0
2.7,687,614,14,80,80,CA resident,Hispanic,Male,0
2.9,644,628,15,80,80,CA resident,White,Male,0
3.0,649,593,16,80,80,CA resident,Asian,Male,0
2.5,573,585,14,80,80,Unknown,White,Female,0
2.1,554,614,15,80,80,CA resident,White,Female,0
2.7,700,625,14,80,80,CA resident,Asian,Female,0
2.8,607,606,13,80,80,CA resident,International,Male,0
2.4,593,636,16,80,80,CA resident,Asian,Female,1
2.5,629,663,16,80,80,Unknown,Hispanic,Female,0
2.3,650,600,14,80,80,CA resident,International,Male,0
2.0,608,646,15,80,80,CA resident,White,Male,0
2.3,667,626,14,80,80,CA resident,Hispanic,Female,0
2.9,666,556,16,80,80,CA resident,African American,Female,0
2.2,556,692,15,80,80,CA resident,Asian,Female,0
2.6,624,672,16,80,80,Non-resident domestic,Asian,Male,0
2.0,629,584,14,80,80,CA resident,International,Female,0
2.1,600,680,13,80,80,CA resident,Asian,Female,1
2.8,604,636,15,80,80,CA resident,Hispanic,Male,0
2.5,693,590,13,80,80,CA resident,Asian,Male,0
2.1,601,700,16,80,80,CA resident,International,Female,0
2.5,685,643,13,80,80,Unknown,Hispanic,Female,0
2.0,656,643,13,80,80,CA resident,White,Female,0
2.4,695,590,14,80,80,Non-resident domestic,Hispanic,Male,0
2.5,626,585,13,80,80,CA resident,Hispanic,Male,0
2.7,648,681,15,80,80,CA resident,American Indian,Female,1
2.4,564,620,15,80,80,CA resident,Hispanic,Male,0
2.7,620,595,15,80,80,CA resident,White,Male,0
2.6,646,664,13,80,80,CA resident,Asian,Male,0
3.0,554,645,14,80,80,CA resident,Hispanic,Male,0
2.6,684,603,14,80,80,CA resident,Hispanic,Female,0
2.9,627,636,16,80,80,International,White,Female,0
2.3,609,681,15,80,80,CA resident,White,Female,0
2.8,692,575,13,80,80,CA resident,International,Male,0
2.1,592,581,15,80,80,CA resident,Asian,Female,0
2.1,592,627,15,80,80,CA resident,Asian,Male,0
2.1,574,650,15,80,80,CA resident,Asian,Male,0
2.7,598,684,14,80,80,CA resident,Asian,Male,0
2.5,620,603,16,80,80,CA resident,International,Male,0
2.6,652,631,13,80,80,CA resident,Asian,Female,0
2.8,606,674,15,80,80,CA resident,White,Male,0
2.3,595,695,13,80,80,CA resident,Asian,Male,1
2.7,596,637,15,80,80,CA resident,White,Female,0
2.4,663,575,13,80,80,CA resident,White,Genderqueer,0
2.9,672,574,15,80,80,CA resident,International,Female,0
2.4,633,672,13,80,80,CA resident,Hispanic,Male,0
2.2,619,556,15,80,80,CA resident,International,Male,0
2.0,639,572,14,80,80,CA resident,Asian,Female,0
2.6,622,645,13,80,80,International,White,Female,0
2.5,678,651,13,80,80,International,White,Female,0
2.6,668,564,16,80,80,CA resident,Hispanic,Male,0
2.3,617,657,13,80,80,International,Asian,Female,0
2.6,657,649,14,80,80,CA resident,Asian,Female,1
2.2,557,555,13,80,80,CA resident,Hispanic,Female,0
2.5,627,616,15,80,80,CA resident,White,Male,0
2.7,627,662,14,80,80,Non-resident domestic,Domestic unknown,Female,0
2.0,692,673,16,80,80,CA resident,International,Male,0
2.9,555,589,14,80,80,CA resident,White,Male,0
2.8,618,577,13,80,80,CA resident,Hispanic,Female,0
2.1,681,636,13,80,80,CA resident,White,Male,0
2.7,681,627,13,80,80,CA resident,Hispanic,Male,0
2.9,613,653,13,80,80,CA resident,International,Male,0
2.5,699,582,13,80,80,CA resident,African American,Female,0
3.0,636,588,14,80,80,CA resident,Hispanic,Male,0
3.0,683,658,14,80,80,CA resident,White,Male,0
2.9,693,598,13,80,80,CA resident,International,Male,0
2.8,625,602,15,80,80,International,Asian,Male,0
2.8,653,557,14,80,80,CA resident,Hispanic,Male,0
2.5,650,550,14,80,80,Non-resident domestic,Hispanic,Male,0
2.9,570,576,15,80,80,CA resident,African American,Male,0
2.7,622,667,16,80,80,CA resident,International,Female,0
2.1,666,552,14,80,80,CA resident,Hispanic,Female,0
2.8,550,663,14,80,80,CA resident,International,Male,0
3.0,643,677,13,80,80,CA resident,Hispanic,Male,0
2.2,606,621,15,80,80,CA resident,Hispanic,Male,0
2.3,631,644,14,80,80,International,Asian,Female,0
2.1,669,694,14,80,80,CA resident,Asian,Female,0
2.2,671,626,13,80,80,CA resident,Asian,Male,0
2.4,622,558,15,80,80,CA resident,Asian,Female,0
2.4,599,552,14,80,80,International,Domestic unknown,Female,0
