GPA,SAT Reading & Writing,SAT Math,SAT Essay,Activity Score,Personal Statement Score,Residency,Race,Gender,Accepted
3.6,716,751,17,80,80,CA resident,Hispanic,Male,1
3.7,747,700,18,80,80,CA resident,White,Male,1
4.0,787,710,17,80,80,CA resident,American Indian,Female,1
4.0,731,761,17,80,80,CA resident,White,Female,1
3.7,725,706,16,80,80,CA resident,White,Female,1
3.8,785,742,18,80,80,CA resident,Asian,Female,1
3.6,754,724,16,80,80,Non-resident domestic,International,Female,1
3.6,705,770,18,80,80,International,Asian,Male,1
3.8,781,752,16,80,80,CA resident,African American,Female,1
3.6,716,772,18,80,80,CA resident,Asian,Male,1
3.9,702,766,17,80,80,CA resident,Asian,Female,1
3.9,723,728,17,80,80,CA resident,Pacific Islander,Female,1
3.7,759,703,16,80,80,CA resident,International,Male,1
3.7,763,730,17,80,80,CA resident,International,Male,1
3.6,747,729,16,80,80,CA resident,Asian,Female,1
3.6,711,766,18,80,80,CA resident,International,Male,1
3.9,710,714,16,80,80,CA resident,International,Male,1
3.6,798,723,18,80,80,CA resident,International,Female,1
3.5,720,741,17,80,80,International,Asian,Male,1
3.9,736,753,16,80,80,CA resident,Hispanic,Male,1
3.9,719,774,16,80,80,International,Hispanic,Male,1
3.9,762,709,17,80,80,CA resident,International,Male,1
3.9,713,789,16,80,80,CA resident,Hispanic,Female,0
3.6,707,751,18,80,80,International,International,Female,1
3.7,754,783,18,80,80,CA resident,Asian,Female,1
3.7,747,745,17,80,80,CA resident,Asian,Male,1
3.8,709,724,16,80,80,International,International,Male,1
3.9,788,762,16,80,80,International,Asian,Male,1
3.8,736,707,16,80,80,CA resident,Asian,Female,1
3.9,721,727,17,80,80,CA resident,White,Female,1
4.0,749,721,17,80,80,CA resident,Domestic unknown,Male,1
3.9,755,741,16,80,80,CA resident,International,Male,1
3.9,764,765,18,80,80,CA resident,International,Female,1
3.7,728,711,17,80,80,International,Asian,Female,1
3.9,736,772,16,80,80,International,Hispanic,Male,1
4.0,798,753,17,80,80,CA resident,Hispanic,Male,1
3.8,734,796,18,80,80,International,Hispanic,Female,1
3.5,750,763,18,80,80,CA resident,Asian,Male,1
3.8,794,758,17,80,80,CA resident,Hispanic,Male,1
3.8,787,700,18,80,80,CA resident,Asian,Female,1
3.6,792,721,18,80,80,CA resident,Asian,Female,1
3.7,776,742,16,80,80,International,African American,Male,1
3.9,773,747,17,80,80,CA resident,International,Female,1
3.8,761,706,16,80,80,International,Asian,Female,1
3.7,788,747,18,80,80,CA resident,International,Female,1
3.8,747,703,17,80,80,CA resident,Asian,Male,1
3.9,706,702,18,80,80,CA resident,International,Female,1
3.7,762,786,18,80,80,CA resident,White,Female,1
4.0,766,700,17,80,80,Non-resident domestic,Hispanic,Other,1
3.7,740,757,16,80,80,CA resident,Hispanic,Female,1
3.6,773,742,16,80,80,International,White,Female,1
3.9,734,766,18,80,80,CA resident,Hispanic,Male,0
3.9,733,791,16,80,80,International,White,Female,1
3.9,795,774,18,80,80,CA resident,Hispanic,Male,1
3.9,700,724,16,80,80,International,Asian,Female,1
3.9,728,725,16,80,80,CA resident,Domestic unknown,Male,1
3.5,745,719,16,80,80,Non-resident domestic,International,Female,1
3.6,791,766,16,80,80,International,White,Female,1
3.9,768,790,16,80,80,CA resident,Asian,Female,1
3.5,744,741,18,80,80,CA resident,Hispanic,Male,1
3.9,772,749,17,80,80,CA resident,White,Male,1
3.6,793,731,18,80,80,CA resident,Asian,Male,1
4.0,762,762,18,80,80,CA resident,White,Male,1
3.8,724,762,17,80,80,CA resident,Asian,Female,1
4.0,792,736,18,80,80,CA resident,Asian,Female,1
3.6,755,729,18,80,80,CA resident,White,Female,1
4.0,749,748,16,80,80,CA resident,White,Male,1
3.7,768,740,17,80,80,CA resident,Hispanic,Female,1
3.5,735,765,18,80,80,CA resident,White,Female,1
3.7,766,712,18,80,80,Non-resident domestic,Asian,Male,0
3.7,739,744,18,80,80,CA resident,White,Female,1
3.7,746,780,18,80,80,CA resident,Asian,Male,1
3.6,729,734,16,80,80,International,Asian,Male,1
3.9,719,751,17,80,80,CA resident,International,Female,1
3.6,707,752,16,80,80,CA resident,Asian,Male,1
3.7,772,783,18,80,80,CA resident,African American,Female,1
3.7,790,708,18,80,80,CA resident,Hispanic,Female,1
3.5,707,785,18,80,80,CA resident,Asian,Female,0
3.8,740,734,18,80,80,CA resident,Asian,Male,1
3.6,706,781,18,80,80,CA resident,White,Male,1
3.7,702,725,17,80,80,CA resident,Asian,Female,1
3.8,731,709,18,80,80,International,White,Male,1
3.7,754,770,18,80,80,CA resident,Asian,Female,1
3.8,778,736,16,80,80,CA resident,Hispanic,Other,1
4.0,756,729,18,80,80,International,Asian,Female,1
3.7,741,725,17,80,80,CA resident,Asian,Male,1
4.0,736,727,18,80,80,CA resident,White,Male,1
3.9,736,757,18,80,80,CA resident,Asian,Female,1
3.8,706,740,16,80,80,CA resident,Hispanic,Female,1
3.6,748,746,16,80,80,CA resident,Hispanic,Female,1
3.7,779,763,17,80,80,CA resident,Domestic unknown,Female,1
3.8,756,733,18,80,80,CA resident,White,Female,1
3.8,746,779,18,80,80,CA resident,Asian,Female,1
3.5,791,715,17,80,80,International,Hispanic,Female,0
3.7,773,764,17,80,80,CA resident,International,Male,1
3.7,767,705,18,80,80,CA resident,International,Female,1
3.5,737,726,17,80,80,International,Hispanic,Male,1
3.7,741,773,16,80,80,CA resident,Asian,Male,1
4.0,786,760,17,80,80,International,White,Female,1
3.6,771,704,17,80,80,CA resident,Hispanic,Female,1
3.7,742,752,18,80,80,International,Asian,Female,1
3.6,774,767,18,80,80,CA resident,Asian,Female,1
3.8,728,773,17,80,80,CA resident,Hispanic,Female,1
3.9,771,768,17,80,80,CA resident,Asian,Male,1
3.8,792,718,18,80,80,Non-resident domestic,Asian,Male,1
3.6,729,721,18,80,80,International,Domestic unknown,Female,1
3.9,786,763,16,80,80,Non-resident domestic,Hispanic,Male,1
3.8,755,796,17,80,80,CA resident,Hispanic,Female,1
4.0,765,756,18,80,80,CA resident,Hispanic,Male,1
3.8,785,734,18,80,80,CA resident,Asian,Female,1
3.5,717,780,18,80,80,CA resident,Hispanic,Male,1
3.8,789,775,17,80,80,International,International,Female,1
3.7,703,744,18,80,80,CA resident,Asian,Male,1
3.5,706,738,17,80,80,CA resident,Hispanic,Male,1
3.9,773,785,17,80,80,CA resident,Hispanic,Female,1
3.8,741,746,16,80,80,CA resident,White,Male,1
3.7,748,753,16,80,80,CA resident,White,Female,0
3.8,769,731,16,80,80,International,White,Male,1
3.7,701,768,17,80,80,CA resident,Asian,Female,1
3.9,720,771,18,80,80,Non-resident domestic,White,Female,1
4.0,716,730,17,80,80,CA resident,Hispanic,Female,1
3.7,750,708,18,80,80,Non-resident domestic,Asian,Male,1
3.9,770,718,17,80,80,CA resident,Asian,Female,1
4.0,749,735,18,80,80,CA resident,Asian,Male,1
3.7,783,773,18,80,80,CA resident,International,Female,1
4.0,795,706,16,80,80,CA resident,International,Female,1
3.8,748,755,16,80,80,CA resident,African American,Female,1
3.7,723,716,17,80,80,CA resident,White,Female,1
3.6,747,794,18,80,80,International,Asian,Female,0
3.5,764,760,17,80,80,CA resident,Asian,Female,1
3.7,791,735,16,80,80,International,Hispanic,Female,1
3.7,786,769,17,80,80,International,Hispanic,Male,1
3.8,718,766,16,80,80,CA resident,Hispanic,Male,1
3.8,746,724,17,80,80,CA resident,Hispanic,Male,1
3.8,700,754,18,80,80,Non-resident domestic,International,Male,1
3.8,736,797,16,80,80,CA resident,White,Male,1
3.8,761,753,17,80,80,International,White,Male,0
4.0,729,730,17,80,80,CA resident,White,Female,1
3.7,715,746,17,80,80,CA resident,Asian,Male,1
3.5,765,778,16,80,80,International,International,Female,1
3.6,714,770,17,80,80,International,White,Female,1
3.6,706,768,18,80,80,CA resident,Asian,Male,1
3.9,706,738,17,80,80,CA resident,Hispanic,Female,1
3.6,761,756,18,80,80,CA resident,White,Female,1
4.0,775,704,17,80,80,CA resident,White,Male,1
3.9,733,702,17,80,80,CA resident,International,Female,1
3.9,760,742,18,80,80,International,Asian,Male,1
3.7,708,785,16,80,80,CA resident,Asian,Female,1
3.8,791,747,17,80,80,CA resident,Hispanic,Female,1
3.8,711,711,16,80,80,CA resident,Hispanic,Female,1
3.9,746,761,17,80,80,CA resident,Asian,Female,1
3.6,732,796,18,80,80,Unknown,Asian,Female,1
3.8,766,745,16,80,80,CA resident,White,Female,1
3.8,749,717,17,80,80,CA resident,Asian,Male,1
4.0,763,716,17,80,80,CA resident,Asian,Male,1
3.9,787,744,18,80,80,CA resident,White,Female,1
3.9,721,777,18,80,80,CA resident,International,Female,0
3.9,705,795,18,80,80,CA resident,White,Female,1
3.7,707,759,16,80,80,CA resident,Asian,Female,1
3.9,776,705,17,80,80,CA resident,International,Female,1
3.8,728,778,18,80,80,CA resident,American Indian,Female,1
3.7,792,798,16,80,80,CA resident,International,Female,1
3.8,745,729,17,80,80,CA resident,White,Male,1
4.0,758,724,16,80,80,CA resident,Asian,Female,0
3.9,748,753,18,80,80,CA resident,Asian,Female,1
3.8,794,753,18,80,80,Unknown,African American,Male,1
3.9,705,708,16,80,80,International,International,Female,0
3.7,780,726,17,80,80,Unknown,Asian,Female,1
3.6,722,773,16,80,80,CA resident,International,Female,1
3.9,728,770,16,80,80,CA resident,Asian,Female,1
4.0,721,786,18,80,80,CA resident,White,Female,1
3.9,789,780,16,80,80,CA resident,Asian,Male,1
3.7,747,759,17,80,80,Non-resident domestic,American Indian,Male,1
3.9,784,800,16,80,80,CA resident,Asian,Male,1
3.8,767,736,18,80,80,Non-resident domestic,White,Female,1
4.0,741,713,18,80,80,Non-resident domestic,Hispanic,Genderqueer,0
4.0,733,727,17,80,80,CA resident,White,Male,1
3.9,708,721,17,80,80,International,White,Female,1
3.5,714,728,17,80,80,CA resident,White,Other,1
3.7,769,757,18,80,80,CA resident,International,Male,1
3.6,786,755,18,80,80,International,White,Male,1
3.7,747,769,17,80,80,CA resident,White,Female,1
3.6,783,733,17,80,80,International,Asian,Female,1
3.7,727,777,16,80,80,CA resident,Asian,Female,1
3.7,764,709,17,80,80,CA resident,Asian,Female,1
3.8,724,715,17,80,80,CA resident,Hispanic,Female,1
3.6,716,731,18,80,80,CA resident,American Indian,Female,1
4.0,720,733,18,80,80,CA resident,White,Male,1
3.8,767,766,18,80,80,CA resident,White,Male,1
3.8,750,734,17,80,80,CA resident,Hispanic,Female,1
3.6,744,792,16,80,80,CA resident,Asian,Male,1
3.6,767,782,18,80,80,CA resident,Hispanic,Male,0
3.9,704,738,18,80,80,CA resident,African American,Male,0
3.9,764,790,17,80,80,CA resident,African American,Female,1
3.9,766,784,16,80,80,CA resident,Hispanic,Female,1
3.5,771,784,17,80,80,CA resident,International,Female,1
3.6,793,738,18,80,80,International,Asian,Male,1
3.9,736,761,17,80,80,CA resident,Hispanic,Female,1
3.9,731,798,16,80,80,CA resident,Asian,Male,1
3.6,730,737,17,80,80,CA resident,Asian,Female,1
3.8,800,783,17,80,80,CA resident,Asian,Male,1
3.6,795,743,18,80,80,CA resident,Hispanic,Female,1
3.7,778,717,17,80,80,International,White,Female,1
3.6,800,746,18,80,80,Non-resident domestic,Asian,Female,1
4.0,800,775,17,80,80,CA resident,White,Male,0
3.5,744,745,16,80,80,Non-resident domestic,Domestic unknown,Male,1
3.9,724,762,16,80,80,CA resident,Asian,Male,1
3.8,741,722,18,80,80,CA resident,Asian,Male,1
3.5,791,738,17,80,80,CA resident,Asian,Male,1
4.0,753,790,16,80,80,CA resident,African American,Female,1
3.5,746,725,17,80,80,CA resident,Asian,Female,1
3.7,714,703,17,80,80,CA resident,International,Female,0
3.5,712,786,16,80,80,International,International,Female,1
3.9,726,797,16,80,80,International,Asian,Female,1
3.6,745,753,17,80,80,CA resident,White,Male,1
3.6,748,725,18,80,80,CA resident,Asian,Male,1
3.9,705,711,17,80,80,Unknown,White,Male,1
3.7,761,775,18,80,80,CA resident,White,Genderqueer,1
4.0,701,763,18,80,80,Non-resident domestic,Hispanic,Female,1
3.7,775,765,16,80,80,Non-resident domestic,Asian,Female,1
3.9,744,787,16,80,80,CA resident,Asian,Female,1
3.5,707,727,16,80,80,International,Asian,Male,1
3.7,704,756,17,80,80,CA resident,Asian,Male,1
3.5,752,715,18,80,80,CA resident,Asian,Female,1
3.7,744,727,17,80,80,CA resident,International,Male,1
3.6,774,736,18,80,80,CA resident,Asian,Female,1
3.9,793,717,18,80,80,CA resident,International,Male,1
3.7,726,718,17,80,80,International,Asian,Male,1
3.8,738,763,18,80,80,CA resident,International,Female,1
3.5,792,748,17,80,80,CA resident,White,Male,1
3.8,797,702,17,80,80,CA resident,Asian,Male,1
3.6,731,752,16,80,80,Non-resident domestic,Asian,Male,1
3.5,740,717,17,80,80,CA resident,International,Female,1
3.9,752,732,18,80,80,CA resident,American Indian,Male,1
3.7,706,751,17,80,80,CA resident,International,Female,1
3.6,736,748,18,80,80,International,Hispanic,Male,1
3.8,706,738,16,80,80,International,White,Female,0
3.7,782,760,17,80,80,CA resident,White,Female,1
3.6,726,720,18,80,80,CA resident,White,Male,0
3.9,764,765,17,80,80,CA resident,White,Female,1
3.7,790,770,16,80,80,CA resident,International,Female,1
3.6,747,741,16,80,80,CA resident,Asian,Male,1
3.9,720,706,16,80,80,CA resident,African American,Male,1
4.0,735,761,18,80,80,CA resident,White,Female,1
3.8,769,761,18,80,80,CA resident,Asian,Female,1
3.9,774,761,18,80,80,Non-resident domestic,White,Female,1
3.5,728,777,16,80,80,CA resident,Hispanic,Male,1
3.6,701,791,16,80,80,CA resident,Hispanic,Male,1
3.8,784,758,18,80,80,CA resident,Domestic unknown,Genderqueer,1
3.8,726,749,17,80,80,International,International,Male,1
3.7,792,716,18,80,80,CA resident,Asian,Female,1
3.6,740,748,17,80,80,CA resident,Hispanic,Female,1
3.6,746,787,18,80,80,CA resident,Hispanic,Male,1
3.5,700,707,17,80,80,CA resident,Asian,Female,1
3.7,737,707,16,80,80,CA resident,White,Male,1
3.8,754,794,17,80,80,International,Asian,Male,0
3.8,748,701,16,80,80,International,Pacific Islander,Female,1
3.7,765,753,16,80,80,CA resident,Asian,Male,1
3.7,764,752,16,80,80,International,Hispanic,Male,1
3.6,738,716,17,80,80,CA resident,Hispanic,Female,1
3.6,739,720,16,80,80,CA resident,Hispanic,Male,1
3.7,769,763,17,80,80,CA resident,International,Male,1
3.9,705,700,17,80,80,CA resident,International,Female,1
3.9,796,793,18,80,80,International,Asian,Female,1
4.0,755,760,17,80,80,Unknown,International,Male,1
3.5,719,746,18,80,80,International,International,Female,1
3.5,730,717,17,80,80,CA resident,White,Female,1
3.9,766,710,16,80,80,CA resident,International,Female,1
3.5,751,714,17,80,80,CA resident,Hispanic,Female,1
4.0,792,767,16,80,80,CA resident,Hispanic,Female,1
3.5,755,780,17,80,80,CA resident,White,Female,1
3.7,783,733,17,80,80,CA resident,Domestic unknown,Female,1
3.6,795,794,18,80,80,CA resident,International,Female,1
3.7,769,737,18,80,80,CA resident,Asian,Male,1
3.6,711,733,17,80,80,CA resident,Hispanic,Female,1
3.5,734,787,16,80,80,International,Hispanic,Female,1
3.7,800,731,18,80,80,Non-resident domestic,Asian,Male,1
3.6,776,760,16,80,80,CA resident,African American,Female,1
3.9,718,779,18,80,80,CA resident,International,Male,1
3.7,786,738,16,80,80,CA resident,International,Male,1
3.9,744,784,18,80,80,CA resident,Hispanic,Female,1
3.8,747,755,18,80,80,Non-resident domestic,Asian,Male,1
3.9,755,710,17,80,80,CA resident,Asian,Male,1
3.5,773,716,16,80,80,CA resident,International,Female,0
3.5,782,796,16,80,80,International,Asian,Female,1
3.8,711,790,17,80,80,CA resident,Asian,Male,1
4.0,738,778,16,80,80,CA resident,Hispanic,Female,1
3.7,747,756,17,80,80,CA resident,Asian,Female,1
3.7,757,714,18,80,80,Non-resident domestic,Asian,Male,1
3.8,754,786,17,80,80,CA resident,Hispanic,Female,1
3.8,718,741,17,80,80,Non-resident domestic,African American,Female,1
3.9,727,747,18,80,80,International,White,Female,1
3.5,709,755,18,80,80,CA resident,Asian,Female,1
3.6,726,782,17,80,80,CA resident,Hispanic,Female,1
3.6,730,742,17,80,80,CA resident,Asian,Male,1
3.6,778,756,18,80,80,International,Asian,Female,1
3.7,760,774,16,80,80,Non-resident domestic,Asian,Female,1
3.8,767,782,18,80,80,CA resident,White,Male,1
3.9,746,771,17,80,80,CA resident,Hispanic,Female,0
3.6,759,795,18,80,80,CA resident,Hispanic,Female,1
4.0,741,769,16,80,80,CA resident,American Indian,Female,1
3.9,777,711,17,80,80,CA resident,Asian,Female,1
3.6,715,733,17,80,80,CA resident,Hispanic,Male,1
4.0,785,741,18,80,80,Non-resident domestic,African American,Female,1
3.9,787,770,18,80,80,CA resident,International,Male,1
3.6,750,729,17,80,80,CA resident,White,Female,1
3.7,796,767,18,80,80,CA resident,Asian,Female,1
3.7,762,761,16,80,80,Non-resident domestic,Hispanic,Male,1
3.9,766,716,16,80,80,CA resident,International,Female,1
3.9,736,762,17,80,80,Unknown,White,Male,1
3.5,777,785,16,80,80,Non-resident domestic,International,Male,1
4.0,755,788,17,80,80,International,Hispanic,Female,1
4.0,792,703,18,80,80,International,Asian,Female,1
3.9,772,773,16,80,80,Non-resident domestic,International,Female,1
3.8,763,786,16,80,80,CA resident,Asian,Female,1
3.7,710,766,18,80,80,CA resident,Asian,Male,1
3.7,744,704,16,80,80,CA resident,Hispanic,Female,1
3.7,774,751,17,80,80,CA resident,International,Female,1
3.9,759,761,17,80,80,Unknown,Asian,Female,1
3.6,707,705,17,80,80,CA resident,White,Male,1
3.5,702,778,16,80,80,International,White,Female,1
3.8,763,718,18,80,80,CA resident,White,Female,1
3.6,751,751,18,80,80,CA resident,Hispanic,Male,1
3.7,769,792,16,80,80,CA resident,International,Female,1
3.8,732,745,16,80,80,International,Hispanic,Male,1
3.9,754,721,18,80,80,CA resident,Asian,Male,1
3.9,711,784,17,80,80,CA resident,Asian,Male,1
3.7,700,776,17,80,80,CA resident,White,Male,1
3.9,747,792,17,80,80,CA resident,Hispanic,Female,1
3.5,749,786,17,80,80,Non-resident domestic,Asian,Male,1
3.7,712,798,16,80,80,CA resident,Asian,Female,0
3.6,759,776,18,80,80,CA resident,White,Male,1
3.8,735,783,16,80,80,CA resident,White,Female,1
3.9,737,701,16,80,80,CA resident,Domestic unknown,Female,1
4.0,715,704,18,80,80,CA resident,Hispanic,Genderqueer,1
3.9,764,766,18,80,80,CA resident,African American,Female,1
3.8,731,745,18,80,80,International,White,Female,1
3.5,791,754,18,80,80,Non-resident domestic,Hispanic,Female,1
3.8,737,781,16,80,80,International,Asian,Female,1
3.9,795,800,16,80,80,Non-resident domestic,Asian,Female,1
3.8,800,724,17,80,80,CA resident,White,Female,1
3.8,760,720,18,80,80,CA resident,Hispanic,Male,1
3.9,734,750,18,80,80,CA resident,White,Male,1
3.8,725,756,18,80,80,CA resident,White,Male,1
